nome_parlametria,uf,nome_original,partido,id_camara
DRA. VANDA MILANI,AC,DRA VANDA MILANI,SOLIDARIEDADE,204434
RICARDO IZAR,SP,RICARDO IZAR,PTB,73557
RICARDO IZAR,SP,RICARDO IZAR,PP,160655
CARLOS GOMES,RS,CARLOS GOMES,REPUBLICANOS,178962
LUCIO MOSQUINI,RO,LUCIO MOSQUINI,MDB,178954
PAULO PAIM,RS,PAULO PAIM,PT,73910
DENIS BEZERRA,CE,DENIS BEZERRA,PSB,204542
CARMEN ZANOTTO,SC,CARMEN ZANOTTO,CIDADANIA,164360
ALEXANDRE PADILHA,SP,ALEXANDRE PADILHA,PT,204503
RICARDO BARROS,PR,RICARDO BARROS,PP,73788
ADRIANA VENTURA,SP,ADRIANA VENTURA,NOVO,204528
PEDRO WESTPHALEN,RS,PEDRO WESTPHALEN,PP,204406
ALCIDES RODRIGUES,GO,ALCIDES RODRIGUES,PATRIOTA,204413
SANTINI,RS,SANTINI,PTB,90842
JORGE SOLLA,BA,JORGE SOLLA,PT,178857
TEREZA NELMA,AL,TEREZA NELMA,PSDB,204466
DRA. SORAYA MANATO,ES,DRA SORAYA MANATO,PSL,81297
CHIQUINHO BRAZÃO,RJ,CHIQUINHO BRAZÃO,AVANTE,204476
MARCELO MORAES,RS,MARCELO MORAES,PTB,133810
ELI BORGES,TO,ELI BORGES,SOLIDARIEDADE,204364
ALUISIO MENDES,MA,ALUISIO MENDES,PSC,178881
FABIO REIS,SE,FABIO REIS,MDB,171623
TED CONTI,ES,TED CONTI,PSB,206231
LUISA CANZIANI,PR,LUISA CANZIANI,PTB,204410
DULCE MIRANDA,TO,DULCE MIRANDA,MDB,178994
PAULO PIMENTA,RS,PAULO PIMENTA,PT,74400
MÁRCIO LABRE,RJ,MÁRCIO LABRE,PSL,204452
GLEISI HOFFMANN,PR,GLEISI HOFFMANN,PT,107283
ENRICO MISASI,SP,ENRICO MISASI,PV,204537
BIBO NUNES,RS,BIBO NUNES,PSL,204388
VINICIUS POIT,SP,VINICIUS POIT,NOVO,204532
DIEGO GARCIA,PR,DIEGO GARCIA,PODE,178929
LUCAS VERGILIO,GO,LUCAS VERGILIO,SOLIDARIEDADE,178879
JOSIMAR MARANHÃOZINHO,MA,JOSIMAR MARANHÃOZINHO,PL,204563
MARCELO ARO,MG,MARCELO ARO,PP,146788
JERÔNIMO GOERGEN,RS,JERÔNIMO GOERGEN,PP,160570
CRISTIANO VALE,PA,CRISTIANO VALE,PL,135054
BOSCO COSTA,SE,BOSCO COSTA,PL,74052
JOÃO DANIEL,SE,JOÃO DANIEL,PT,178970
ANTONIO BRITO,BA,ANTONIO BRITO,PSD,160553
PASTOR SARGENTO ISIDÓRIO,BA,PASTOR SARGENTO ISIDÓRIO,AVANTE,204553
MILTON VIEIRA,SP,MILTON VIEIRA,REPUBLICANOS,154178
DR. ZACHARIAS CALIL,GO,DR ZACHARIAS CALIL,DEM,204412
FLORDELIS,RJ,FLORDELIS,PSD,204447
BOCA ABERTA,PR,BOCA ABERTA,PROS,204397
JUSCELINO FILHO,MA,JUSCELINO FILHO,DEM,178886
DR. JAZIEL,CE,DR JAZIEL,PL,204481
EDUARDO COSTA,PA,EDUARDO COSTA,PTB,204500
ALEXANDRE SERFIOTIS,RJ,ALEXANDRE SERFIOTIS,PSD,178833
DR. LEONARDO,MT,DR LEONARDO,SOLIDARIEDADE,204439
MÁRIO HERINGER,MG,MÁRIO HERINGER,PDT,74158
MAURO NAZIF,RO,MAURO NAZIF,PSB,141508
MIGUEL LOMBARDI,SP,MIGUEL LOMBARDI,PL,178985
